iter	Passed	Remaining
818	39136	8649
819	39182	8601
820	39229	8552
821	39275	8504
822	39323	8457
823	39367	8408
824	39410	8359
825	39454	8311
826	39500	8263
827	39563	8218
828	39620	8172
829	39678	8126
830	39728	8079
831	39778	8032
832	39825	7984
833	39866	7935
834	39920	7888
835	39965	7840
836	40013	7792
837	40067	7745
838	40120	7698
839	40175	7652
840	40223	7604
841	40270	7556
842	40317	7508
843	40361	7460
844	40405	7411
845	40457	7364
846	40500	7315
847	40556	7269
848	40953	7283
849	41003	7235
850	41046	7186
851	41104	7140
852	41155	7092
853	41203	7044
854	41251	6995
855	41299	6947
856	41341	6898
857	41388	6849
858	41434	6801
859	41475	6751
860	41521	6703
861	41564	6654
862	41613	6606
863	41657	6557
864	41704	6508
865	41746	6459
866	41794	6411
867	41841	6363
868	41891	6315
869	41939	6266
870	41993	6219
871	42044	6171
872	42091	6123
873	42139	6075
874	42189	6027
875	42236	5978
876	42285	5930
877	42332	5882
878	42376	5833
879	42424	5785
880	42471	5736
881	42515	5687
882	42561	5639
883	42605	5590
884	42657	5543
885	42707	5495
886	42755	5446
887	42807	5399
888	42859	5351
889	42909	5303
890	42957	5255
891	43004	5206
892	43067	5160
893	43116	5112
894	43156	5063
895	43203	5014
896	43243	4965
897	43288	4916
898	43331	4868
899	43375	4819
900	43419	4770
901	43465	4722
902	43518	4674
903	43573	4627
904	43620	4578
905	43669	4530
906	43715	4482
907	43760	4433
908	43805	4385
909	43855	4337
910	43908	4289
911	43955	4241
912	44002	4193
913	44055	4145
914	44114	4098
915	44163	4049
916	44215	4002
917	44263	3953
918	44306	3905
919	44345	3856
920	44387	3807
921	44436	3759
922	44481	3710
923	44530	3662
924	44577	3614
925	44626	3566
926	44675	3518
927	44720	3469
928	44770	3421
929	44813	3373
930	44861	3324
931	44903	3276
932	44951	3228
933	44994	3179
934	45034	3130
935	45084	3082
936	45141	3035
937	45190	2986
938	45235	2938
939	45278	2890
940	45323	2841
941	45365	2793
942	45410	2744
943	45451	2696
944	45498	2648
945	45541	2599
946	45595	2551
947	45644	2503
948	45687	2455
949	45730	2406
950	45777	2358
951	45821	2310
952	45870	2262
953	45916	2213
954	45964	2165
955	46004	2117
956	46048	2069
957	46095	2020
958	46157	1973
959	46201	1925
960	46246	1876
961	46297	1828
962	46346	1780
963	46397	1732
964	46448	1684
965	46500	1636
966	46545	1588
967	46587	1540
968	46633	1491
969	46675	1443
970	46730	1395
971	46774	1347
972	46837	1299
973	46891	1251
974	46939	1203
975	46981	1155
976	47024	1107
977	47065	1058
978	47117	1010
979	47167	962
980	47227	914
981	47272	866
982	47311	818
983	47356	770
984	47395	721
985	47436	673
986	47482	625
987	47531	577
988	47575	529
989	47614	480
990	47653	432
991	47695	384
992	47735	336
993	47781	288
994	47822	240
995	47870	192
996	47918	144
997	47975	96
998	48020	48
999	48068	0
